theme_kr,ticker
정유,010950
정유,096770
정유,078930
백화점,037710
백화점,006370
백화점,004170
백화점,023530
백화점,069960
백화점,452260
모더나(MODERNA),207940
모더나(MODERNA),005690
모더나(MODERNA),237690
모더나(MODERNA),006280
모더나(MODERNA),227950
모더나(MODERNA),950200
바이오시밀러(복제 바이오의약품),009420
바이오시밀러(복제 바이오의약품),196170
바이오시밀러(복제 바이오의약품),0126Z0
바이오시밀러(복제 바이오의약품),068270
바이오시밀러(복제 바이오의약품),053030
바이오시밀러(복제 바이오의약품),000250
바이오시밀러(복제 바이오의약품),128940
바이오시밀러(복제 바이오의약품),006280
바이오시밀러(복제 바이오의약품),068760
바이오시밀러(복제 바이오의약품),003850
바이오시밀러(복제 바이오의약품),069620
바이오시밀러(복제 바이오의약품),051910
바이오시밀러(복제 바이오의약품),003060
바이오시밀러(복제 바이오의약품),170900
바이오시밀러(복제 바이오의약품),067370
바이오시밀러(복제 바이오의약품),950210
바이오시밀러(복제 바이오의약품),185750
바이오시밀러(복제 바이오의약품),334970
바이오시밀러(복제 바이오의약품),086890
바이오시밀러(복제 바이오의약품),222110
바이오시밀러(복제 바이오의약품),007460
공작기계,100660
공작기계,089140
공작기계,000850
공작기계,019210
공작기계,010660
공작기계,101680
공작기계,099440
공작기계,003570
공작기계,025890
공작기계,195990
공작기계,129920
공작기계,009160
공작기계,004380
공작기계,047400
3D 프린터,376900
3D 프린터,090360
3D 프린터,246710
3D 프린터,033200
3D 프린터,099440
3D 프린터,090710
3D 프린터,474650
3D 프린터,104540
3D 프린터,126700
3D 프린터,039440
3D 프린터,048770
반도체 대표주(생산),005930
반도체 대표주(생산),000660
반도체 대표주(생산),000990
2차전지(생산),096770
2차전지(생산),006400
2차전지(생산),373220
화이자(PFIZER),005690
화이자(PFIZER),018680
화이자(PFIZER),000100
화이자(PFIZER),271980
화이자(PFIZER),023910
오가노이드,207940
오가노이드,475960
오가노이드,476040
오가노이드,001060
오가노이드,246710
오가노이드,217730
오가노이드,223250
오가노이드,068330
면역항암제,397030
면역항암제,493280
면역항암제,141080
면역항암제,174900
면역항암제,215600
면역항암제,338840
면역항암제,298380
면역항암제,115180
면역항암제,321550
면역항암제,028300
면역항암제,424870
면역항암제,0009K0
면역항암제,084990
면역항암제,323990
면역항암제,000100
면역항암제,0082N0
면역항암제,358570
면역항암제,039200
면역항암제,950220
면역항암제,095700
면역항암제,299660
면역항암제,291650
면역항암제,170900
면역항암제,293780
면역항암제,235980
면역항암제,001540
면역항암제,308080
면역항암제,144510
면역항암제,195990
면역항암제,086890
면역항암제,365270
면역항암제,378800
면역항암제,085660
면역항암제,083790
면역항암제,052020
면역항암제,224060
로봇(산업용/협동로봇 등),251630
로봇(산업용/협동로봇 등),100660
로봇(산업용/협동로봇 등),012200
로봇(산업용/협동로봇 등),413630
로봇(산업용/협동로봇 등),192410
로봇(산업용/협동로봇 등),049070
로봇(산업용/협동로봇 등),466100
로봇(산업용/협동로봇 등),090360
로봇(산업용/협동로봇 등),454910
로봇(산업용/협동로봇 등),160190
로봇(산업용/협동로봇 등),199430
로봇(산업용/협동로봇 등),388720
로봇(산업용/협동로봇 등),117730
로봇(산업용/협동로봇 등),348340
로봇(산업용/협동로봇 등),459510
로봇(산업용/협동로봇 등),066430
로봇(산업용/협동로봇 등),059270
로봇(산업용/협동로봇 등),058610
로봇(산업용/협동로봇 등),439960
로봇(산업용/협동로봇 등),389500
로봇(산업용/협동로봇 등),437730
로봇(산업용/협동로봇 등),204320
로봇(산업용/협동로봇 등),079550
로봇(산업용/협동로봇 등),138360
로봇(산업용/협동로봇 등),084850
로봇(산업용/협동로봇 등),060720
로봇(산업용/협동로봇 등),277810
로봇(산업용/협동로봇 등),217500
로봇(산업용/협동로봇 등),059120
로봇(산업용/협동로봇 등),056080
로봇(산업용/협동로봇 등),322180
로봇(산업용/협동로봇 등),264850
로봇(산업용/협동로봇 등),317830
로봇(산업용/협동로봇 등),319400
로봇(산업용/협동로봇 등),000150
로봇(산업용/협동로봇 등),011690
로봇(산업용/협동로봇 등),101170
로봇(산업용/협동로봇 등),108490
로봇(산업용/협동로봇 등),094940
로봇(산업용/협동로봇 등),455900
로봇(산업용/협동로봇 등),092200
로봇(산업용/협동로봇 등),140670
로봇(산업용/협동로봇 등),099440
로봇(산업용/협동로봇 등),090710
로봇(산업용/협동로봇 등),474650
로봇(산업용/협동로봇 등),010820
로봇(산업용/협동로봇 등),093640
로봇(산업용/협동로봇 등),484810
로봇(산업용/협동로봇 등),270660
로봇(산업용/협동로봇 등),206400
로봇(산업용/협동로봇 등),006140
로봇(산업용/협동로봇 등),033530
로봇(산업용/협동로봇 등),125490
로봇(산업용/협동로봇 등),000490
로봇(산업용/협동로봇 등),030530
로봇(산업용/협동로봇 등),190510
로봇(산업용/협동로봇 등),005850
로봇(산업용/협동로봇 등),448900
로봇(산업용/협동로봇 등),024880
로봇(산업용/협동로봇 등),119500
로봇(산업용/협동로봇 등),008830
로봇(산업용/협동로봇 등),130740
로봇(산업용/협동로봇 등),065350
로봇(산업용/협동로봇 등),391710
로봇(산업용/협동로봇 등),232680
로봇(산업용/협동로봇 등),307180
로봇(산업용/협동로봇 등),004380
로봇(산업용/협동로봇 등),079370
로봇(산업용/협동로봇 등),048770
