name_kr,ticker,industry_kr,market
동화약품,000020,제약,KOSPI
KR모터스,000040,자동차,KOSPI
경방,000050,"섬유,의류,신발,호화품",KOSPI
삼양홀딩스,000070,화학,KOSPI
하이트진로,000080,음료,KOSPI
유한양행,000100,제약,KOSPI
CJ대한통운,000120,항공화물운송과물류,KOSPI
하이트진로홀딩스,000140,음료,KOSPI
두산,000150,복합기업,KOSPI
성창기업지주,000180,종이와목재,KOSPI
덕양에너젠,0001A0,석유와가스,KOSDAQ
DL,000210,화학,KOSPI
유유제약,000220,제약,KOSPI
일동홀딩스,000230,제약,KOSPI
한국앤컴퍼니,000240,자동차부품,KOSPI
삼천당제약,000250,제약,KOSDAQ
기아,000270,자동차,KOSPI
DH오토넥스,000300,자동차부품,KOSPI
노루홀딩스,000320,건축자재,KOSPI
한화손해보험,000370,손해보험,KOSPI
SP삼화,000390,건축자재,KOSPI
롯데손해보험,000400,손해보험,KOSPI
대원강업,000430,자동차부품,KOSPI
중앙에너비스,000440,석유와가스,KOSDAQ
CR홀딩스,000480,비철금속,KOSPI
대동,000490,기계,KOSPI
엔비알모션,0004V0,기계,KOSDAQ
가온전선,000500,전기장비,KOSPI
삼일제약,000520,제약,KOSPI
흥국화재,000540,손해보험,KOSPI
CS홀딩스,000590,철강,KOSPI
동아쏘시오홀딩스,000640,제약,KOSPI
천일고속,000650,도로와철도운송,KOSPI
SK하이닉스,000660,반도체와반도체장비,KOSPI
영풍,000670,핸드셋,KOSPI
LS네트웍스,000680,증권,KOSPI
유수홀딩스,000700,항공화물운송과물류,KOSPI
현대건설,000720,건설,KOSPI
이화산업,000760,화학,KOSPI
아크릴,0007C0,IT서비스,KOSDAQ
인벤테라,0007J0,제약,KOSDAQ
삼성화재,000810,손해보험,KOSPI
화천기공,000850,기계,KOSPI
강남제비스코,000860,건축자재,KOSPI
한화,000880,복합기업,KOSPI
보해양조,000890,음료,KOSPI
에스엔시스,0008Z0,조선,KOSDAQ
유니온,000910,건축자재,KOSPI
전방,000950,"섬유,의류,신발,호화품",KOSPI
한국주철관,000970,철강,KOSPI
DB하이텍,000990,반도체와반도체장비,KOSPI
에임드바이오,0009K0,생물공학,KOSDAQ
신라섬유,001000,부동산,KOSDAQ
페이퍼코리아,001020,종이와목재,KOSPI
CJ,001040,복합기업,KOSPI
CJ4우(전환),00104K,복합기업,KOSPI
JW중외제약,001060,제약,KOSPI
대한방직,001070,"섬유,의류,신발,호화품",KOSPI
만호제강,001080,철강,KOSPI
보원케미칼,0010F0,화학,KOSDAQ
제이피아이헬스케어,0010V0,건강관리장비와용품,KOSDAQ
LX인터내셔널,001120,무역회사와판매업체,KOSPI
대한제분,001130,식품,KOSPI
액스비스,0011A0,전자장비와기기,KOSDAQ
채비,0011T0,전기제품,KOSDAQ
유진투자증권,001200,증권,KOSPI
금호전기,001210,디스플레이장비및부품,KOSPI
동국홀딩스,001230,철강,KOSPI
GS글로벌,001250,무역회사와판매업체,KOSPI
남광토건,001260,건설,KOSPI
부국증권,001270,증권,KOSPI
상상인증권,001290,증권,KOSPI
PKC,001340,화학,KOSPI
삼성제약,001360,제약,KOSPI
SG글로벌,001380,자동차부품,KOSPI
KG케미칼,001390,자동차,KOSPI
삼진식품,0013V0,식품,KOSDAQ
태원물산,001420,자동차부품,KOSPI
세아베스틸지주,001430,철강,KOSPI
대한전선,001440,전기장비,KOSPI
현대해상,001450,손해보험,KOSPI
BYC,001460,"섬유,의류,신발,호화품",KOSPI
삼부토건,001470,건설,KOSPI
현대차증권,001500,증권,KOSPI
SK증권,001510,증권,KOSPI
동양,001520,건축자재,KOSPI
DI동일,001530,"섬유,의류,신발,호화품",KOSPI
안국약품,001540,제약,KOSDAQ
조비,001550,화학,KOSPI
제일연마,001560,비철금속,KOSPI
금양,001570,화학,KOSPI
그린광학,0015G0,우주항공과국방,KOSDAQ
아로마티카,0015N0,화장품,KOSDAQ
페스카로,0015S0,자동차부품,KOSDAQ
케이비아이동국실업,001620,자동차부품,KOSPI
종근당홀딩스,001630,제약,KOSPI
대상,001680,식품,KOSPI
신영증권,001720,증권,KOSPI
SK네트웍스,001740,복합기업,KOSPI
한양증권,001750,증권,KOSPI
SHD,001770,철강,KOSPI
알루코,001780,비철금속,KOSPI
대한제당,001790,식품,KOSPI
세미티에스,0017J0,반도체와반도체장비,KOSDAQ
오리온홀딩스,001800,식품,KOSPI
무림SP,001810,종이와목재,KOSDAQ
삼화콘덴서,001820,전기제품,KOSPI
이화공영,001840,건설,KOSDAQ
KISCO홀딩스,001940,철강,KOSPI
코오롱,002020,복합기업,KOSPI
아세아,002030,건축자재,KOSPI
비비안,002070,"섬유,의류,신발,호화품",KOSPI
경농,002100,화학,KOSPI
고려산업,002140,식품,KOSPI
도화엔지니어링,002150,건설,KOSPI
SYTS,002170,"섬유,의류,신발,호화품",KOSPI
한국수출포장,002200,포장재,KOSPI
동성제약,002210,제약,KOSPI
한일철강,002220,철강,KOSPI
피에스텍,002230,전기제품,KOSDAQ
고려제강,002240,철강,KOSPI
삼일기업공사,002290,건설,KOSDAQ
아세아제지,002310,포장재,KOSPI
한진,002320,항공화물운송과물류,KOSPI
넥센타이어,002350,자동차부품,KOSPI
SH에너지화학,002360,화학,KOSPI
KCC,002380,건축자재,KOSPI
한독,002390,제약,KOSPI
범양건영,002410,건설,KOSPI
세기상사,002420,석유와가스,KOSPI
삼익악기,002450,레저용장비와제품,KOSPI
HS화성,002460,건설,KOSPI
조흥,002600,식품,KOSPI
제일파마홀딩스,002620,제약,KOSPI
오리엔트바이오,002630,생물공학,KOSPI
한탑,002680,식품,KOSDAQ
동일제강,002690,철강,KOSPI
신일전자,002700,가정용기기와용품,KOSPI
TCC스틸,002710,철강,KOSPI
국제약품,002720,제약,KOSPI
보락,002760,식품,KOSPI
진흥기업,002780,건설,KOSPI
아모레퍼시픽홀딩스,002790,화장품,KOSPI
신신제약,002800,제약,KOSDAQ
삼영무역,002810,화학,KOSPI
SUN&L,002820,종이와목재,KOSPI
미원상사,002840,화학,KOSPI
신풍,002870,포장재,KOSPI
디와이에이,002880,자동차부품,KOSPI
TYM,002900,기계,KOSPI
유성기업,002920,자동차부품,KOSPI
한국쉘석유,002960,화학,KOSPI
금호건설,002990,건설,KOSPI
부광약품,003000,제약,KOSPI
혜인,003010,기계,KOSPI
세아제강지주,003030,철강,KOSPI
에이프로젠바이오로직스,003060,제약,KOSPI
코오롱글로벌,003070,건설,KOSPI
SB성보,003080,화학,KOSPI
대웅,003090,제약,KOSPI
대신밸류리츠,0030R0,부동산,KOSPI
선광,003100,운송인프라,KOSDAQ
일성아이에스,003120,제약,KOSPI
디아이,003160,반도체와반도체장비,KOSPI
일신방직,003200,"섬유,의류,신발,호화품",KOSPI
대원제약,003220,제약,KOSPI
삼양식품,003230,식품,KOSPI
태광산업,003240,화학,KOSPI
흥아해운,003280,해운사,KOSPI
한일홀딩스,003300,건축자재,KOSPI
대주산업,003310,식품,KOSDAQ
한국화장품제조,003350,화장품,KOSPI
하림지주,003380,식품,KOSDAQ
유화증권,003460,증권,KOSPI
유안타증권,003470,증권,KOSPI
한진중공업홀딩스,003480,가스유틸리티,KOSPI
대한항공,003490,항공사,KOSPI
영진약품,003520,제약,KOSPI
한화투자증권,003530,증권,KOSPI
대신증권,003540,증권,KOSPI
LG,003550,복합기업,KOSPI
SNT다이내믹스,003570,자동차부품,KOSPI
HLB글로벌,003580,판매업체,KOSPI
방림,003610,"섬유,의류,신발,호화품",KOSPI
KG모빌리티,003620,자동차,KOSPI
미창석유,003650,화학,KOSPI
포스코퓨처엠,003670,화학,KOSPI
한성기업,003680,식품,KOSPI
코리안리,003690,손해보험,KOSPI
삼영,003720,화학,KOSPI
진양산업,003780,화학,KOSPI
에이스침대,003800,가구,KOSDAQ
대한화섬,003830,화학,KOSPI
보령,003850,제약,KOSPI
남양유업,003920,식품,KOSPI
사조대림,003960,식품,KOSPI
롯데정밀화학,004000,화학,KOSPI
현대제철,004020,철강,KOSPI
SG세계물산,004060,"섬유,의류,신발,호화품",KOSPI
신흥,004080,건강관리장비와용품,KOSPI
한국석유,004090,화학,KOSPI
태양금속,004100,자동차부품,KOSPI
동방,004140,항공화물운송과물류,KOSPI
한솔홀딩스,004150,복합기업,KOSPI
신세계,004170,백화점과일반상점,KOSPI
NPC,004250,포장재,KOSPI
남성,004270,전자장비와기기,KOSPI
현대약품,004310,제약,KOSPI
세방,004360,항공화물운송과물류,KOSPI
농심,004370,식품,KOSPI
삼익THK,004380,기계,KOSPI
서울식품,004410,식품,KOSPI
송원산업,004430,화학,KOSPI
삼일씨엔에스,004440,건축자재,KOSPI
삼화왕관,004450,포장재,KOSPI
세방전지,004490,자동차부품,KOSPI
깨끗한나라,004540,종이와목재,KOSPI
현대비앤지스틸,004560,비철금속,KOSPI
한국가구,004590,식품과기본식료품소매,KOSDAQ
창해에탄올,004650,음료,KOSDAQ
삼천리,004690,가스유틸리티,KOSPI
조광피혁,004700,"섬유,의류,신발,호화품",KOSPI
한솔테크닉스,004710,전자장비와기기,KOSPI
팜젠사이언스,004720,제약,KOSPI
써니전자,004770,전자장비와기기,KOSPI
대륙제관,004780,포장재,KOSDAQ
효성,004800,복합기업,KOSPI
덕성,004830,"섬유,의류,신발,호화품",KOSPI
DRB동일,004840,화학,KOSPI
티웨이홀딩스,004870,건축자재,KOSPI
동일산업,004890,철강,KOSPI
조광페인트,004910,건축자재,KOSPI
씨아이테크,004920,컴퓨터와주변기기,KOSPI
한신공영,004960,건설,KOSPI
신라교역,004970,식품,KOSPI
성신양회,004980,건축자재,KOSPI
롯데지주,004990,복합기업,KOSPI
휴스틸,005010,철강,KOSPI
부산주공,005030,자동차부품,KOSPI
코스모신소재,005070,화학,KOSPI
SGC에너지,005090,에너지장비및서비스,KOSPI
한창,005110,부동산,KOSPI
동국산업,005160,철강,KOSDAQ
빙그레,005180,식품,KOSPI
녹십자홀딩스,005250,제약,KOSPI
동진쎄미켐,005290,반도체와반도체장비,KOSDAQ
롯데칠성,005300,음료,KOSPI
온타이드,005320,"섬유,의류,신발,호화품",KOSPI
모나미,005360,문구류,KOSPI
현대차,005380,자동차,KOSPI
코스모화학,005420,화학,KOSPI
한국공항,005430,운송인프라,KOSPI
현대지에프홀딩스,005440,복합기업,KOSPI
POSCO홀딩스,005490,철강,KOSPI
삼진제약,005500,제약,KOSPI
삼립,005610,식품,KOSPI
푸드웰,005670,식품,KOSDAQ
삼영전자,005680,전기제품,KOSPI
파미셀,005690,화학,KOSPI
대원산업,005710,자동차부품,KOSDAQ
넥센,005720,자동차부품,KOSPI
크라운해태홀딩스,005740,식품,KOSPI
대림바스,005750,건축제품,KOSPI
신영와코루,005800,"섬유,의류,신발,호화품",KOSPI
풍산홀딩스,005810,비철금속,KOSPI
원림,005820,포장재,KOSPI
DB손해보험,005830,손해보험,KOSPI
에스엘,005850,자동차부품,KOSPI
한일사료,005860,식품,KOSDAQ
휴니드,005870,우주항공과국방,KOSPI
대한해운,005880,해운사,KOSPI
삼성전자,005930,반도체와반도체장비,KOSPI
NH투자증권,005940,증권,KOSPI
이수화학,005950,화학,KOSPI
동부건설,005960,건설,KOSPI
매일홀딩스,005990,식품,KOSDAQ
동원산업,006040,식품,KOSPI
국영지앤엠,006050,건축제품,KOSDAQ
화승인더,006060,"섬유,의류,신발,호화품",KOSPI
사조오양,006090,식품,KOSPI
삼아알미늄,006110,비철금속,KOSPI
SK디스커버리,006120,석유와가스,KOSPI
피제이전자,006140,건강관리장비와용품,KOSDAQ
한국전자홀딩스,006200,반도체와반도체장비,KOSPI
제주은행,006220,은행,KOSPI
LS,006260,전기장비,KOSPI
녹십자,006280,제약,KOSPI
대원전선,006340,전기장비,KOSPI
GS건설,006360,건설,KOSPI
대구백화점,006370,백화점과일반상점,KOSPI
카프로,006380,화학,KOSPI
삼성SDI,006400,전기제품,KOSPI
프리티,006490,무선통신서비스,KOSPI
대림통상,006570,건축제품,KOSPI
동구바이오제약,006620,제약,KOSDAQ
대한유화,006650,화학,KOSPI
삼성공조,006660,자동차부품,KOSPI
서부T&D,006730,"호텔,레스토랑,레저",KOSDAQ
블루산업개발,006740,종이와목재,KOSPI
미래에셋증권,006800,증권,KOSPI
AK홀딩스,006840,화학,KOSPI
신송홀딩스,006880,식품과기본식료품소매,KOSPI
태경케미컬,006890,화학,KOSPI
보성파워텍,006910,전기장비,KOSDAQ
모헨즈,006920,건축자재,KOSDAQ
우성,006980,식품,KOSPI
GS리테일,007070,백화점과일반상점,KOSPI
일신석재,007110,건축자재,KOSPI
미래아이앤지,007120,IT서비스,KOSPI
사조산업,007160,식품,KOSPI
벽산,007210,건축자재,KOSPI
한국특강,007280,철강,KOSPI
오뚜기,007310,식품,KOSPI
푸른저축은행,007330,기타금융,KOSDAQ
DN오토모티브,007340,자동차부품,KOSPI
진양제약,007370,제약,KOSDAQ
네이처셀,007390,생물공학,KOSDAQ
에이프로젠,007460,제약,KOSPI
와이엠,007530,자동차부품,KOSDAQ
샘표,007540,식품,KOSPI
일양약품,007570,제약,KOSPI
동방아그로,007590,화학,KOSPI
선도전기,007610,전기장비,KOSPI
이수페타시스,007660,반도체와반도체장비,KOSPI
대원,007680,건설,KOSDAQ
국도화학,007690,화학,KOSPI
F&F홀딩스,007700,"섬유,의류,신발,호화품",KOSPI
소노스퀘어,007720,판매업체,KOSDAQ
한일화학,007770,화학,KOSDAQ
코리아써키트,007810,전자장비와기기,KOSPI
엠엑스로보틱스,007820,기계,KOSDAQ
서연,007860,자동차부품,KOSPI
TP,007980,"섬유,의류,신발,호화품",KOSPI
사조동아원,008040,식품,KOSPI
대덕,008060,전자장비와기기,KOSPI
이건산업,008250,건축자재,KOSPI
NI스틸,008260,건축자재,KOSPI
원풍물산,008290,"섬유,의류,신발,호화품",KOSDAQ
카나프테라퓨틱스,0082N0,제약,KOSDAQ
남선알미늄,008350,비철금속,KOSPI
원풍,008370,화학,KOSDAQ
